cannot open /u/scratch/n/nikodm/pmcOA/Adv_Appl_Bioinforma_Chem/PMC3169933.nxml , skipping..
cannot open /u/scratch/n/nikodm/pmcOA/Adv_Appl_Bioinforma_Chem/PMC3169936.nxml , skipping..
cannot open /u/scratch/n/nikodm/pmcOA/Adv_Appl_Bioinforma_Chem/PMC3169945.nxml , skipping..
cannot open /u/scratch/n/nikodm/pmcOA/Adv_Appl_Bioinform_Chem/PMC3810201.nxml , skipping..
cannot open /u/scratch/n/nikodm/pmcOA/Adv_Appl_Bioinform_Chem/PMC5391158.nxml , skipping..
publication | /u/scratch/n/nikodm/pmcOA/Adv_Bioinformatics/PMC2775695.nxml
given-names | Raja Tanveer
surname | Landry
given-names | Matthew
surname | Winters-Hilt
given-names | Stephen
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC1683562.nxml
surname | Winters-Hilt
given-names | Stephen
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC1683568.nxml
surname | Kel
given-names | Alexdander
surname | Voss
given-names | Nico
surname | Jauregui
given-names | Ruy
surname | Kel-Margoulis
given-names | Olga
surname | Wingender
given-names | Edgar
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC1683570.nxml
surname | Winters-Hilt
given-names | Stephen
surname | Landry
given-names | Matthew
surname | Akeson
given-names | Mark
surname | Tanase
given-names | Maria
surname | Amin
given-names | Iftekhar
surname | Coombs
given-names | Amy
surname | Morales
given-names | Eric
surname | Millet
given-names | John
surname | Baribault
given-names | Carl
surname | Sendamangalam
given-names | Srikanth
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC1687205.nxml
surname | Rayner
given-names | Tim F
surname | Rocca-Serra
given-names | Philippe
surname | Spellman
given-names | Paul T
surname | Causton
given-names | Helen C
surname | Farne
given-names | Anna
surname | Holloway
given-names | Ele
surname | Irizarry
given-names | Rafael A
surname | Liu
given-names | Junmin
surname | Maier
given-names | Donald S
surname | Miller
given-names | Michael
surname | Petersen
given-names | Kjell
surname | Quackenbush
given-names | John
surname | Sherlock
given-names | Gavin
surname | Stoeckert
given-names | Christian J
suffix | Jr
surname | White
given-names | Joseph
surname | Whetzel
given-names | Patricia L
surname | Wymore
given-names | Farrell
surname | Parkinson
given-names | Helen
surname | Sarkans
given-names | Ugis
surname | Ball
given-names | Catherine A
surname | Brazma
given-names | Alvis
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC1698583.nxml
surname | Turkheimer
given-names | Federico E
surname | Roncaroli
given-names | Federico
surname | Hennuy
given-names | Benoit
surname | Herens
given-names | Christian
surname | Nguyen
given-names | Minh
surname | Martin
given-names | Didier
surname | Evrard
given-names | Annick
surname | Bours
given-names | Vincent
surname | Boniver
given-names | Jacques
surname | Deprez
given-names | Manuel
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC1698937.nxml
surname | Berendzen
given-names | Kenneth W
surname | Stüber
given-names | Kurt
surname | Harter
given-names | Klaus
surname | Wanke
given-names | Dierk
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC1764432.nxml
surname | Barbacioru
given-names | Catalin C
surname | Wang
given-names | Yulei
surname | Canales
given-names | Roger D
surname | Sun
given-names | Yongming A
surname | Keys
given-names | David N
surname | Chan
given-names | Frances
surname | Poulter
given-names | Karen A
surname | Samaha
given-names | Raymond R
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC1770936.nxml
surname | Pal
given-names | Nikhil R
surname | Aguan
given-names | Kripamoy
surname | Sharma
given-names | Animesh
surname | Amari
given-names | Shun-ichi
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC1784106.nxml
surname | Stalteri
given-names | Maria A
surname | Harrison
given-names | Andrew P
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC1784107.nxml
surname | Jelier
given-names | Rob
surname | Jenster
given-names | Guido
surname | Dorssers
given-names | Lambert CJ
surname | Wouters
given-names | Bas J
surname | Hendriksen
given-names | Peter JM
surname | Mons
given-names | Barend
surname | Delwel
given-names | Ruud
surname | Kors
given-names | Jan A
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC1797813.nxml
surname | Yang
given-names | Eric
surname | Maguire
given-names | Timothy
surname | Yarmush
given-names | Martin L
surname | Berthiaume
given-names | Francois
surname | Androulakis
given-names | Ioannis P
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC1831790.nxml
surname | Truntzer
given-names | Caroline
surname | Mercier
given-names | Catherine
surname | Estève
given-names | Jacques
surname | Gautier
given-names | Christian
surname | Roy
given-names | Pascal
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC1839111.nxml
surname | Emmersen
given-names | Jeppe
surname | Heidenblut
given-names | Anna M
surname | Høgh
given-names | Annabeth Laursen
surname | Hahn
given-names | Stephan A
surname | Welinder
given-names | Karen G
surname | Nielsen
given-names | Kåre L
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC1847531.nxml
surname | Liu
given-names | Xuejun
surname | Lin
given-names | Kevin K
surname | Andersen
given-names | Bogi
surname | Rattray
given-names | Magnus
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC1853114.nxml
surname | Al-Shahrour
given-names | Fátima
surname | Arbiza
given-names | Leonardo
surname | Dopazo
given-names | Hernán
surname | Huerta-Cepas
given-names | Jaime
surname | Mínguez
given-names | Pablo
surname | Montaner
given-names | David
surname | Dopazo
given-names | Joaquín
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC1865557.nxml
surname | Alberts
given-names | Rudi
surname | Terpstra
given-names | Peter
surname | Hardonk
given-names | Menno
surname | Bystrykh
given-names | Leonid V
surname | de Haan
given-names | Gerald
surname | Breitling
given-names | Rainer
surname | Nap
given-names | Jan-Peter
surname | Jansen
given-names | Ritsert C
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC1884176.nxml
surname | Cambon
given-names | Alexander C
surname | Khalyfa
given-names | Abdelnaby
surname | Cooper
given-names | Nigel GF
surname | Thompson
given-names | Caryn M
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC1885844.nxml
surname | Mizuguchi
given-names | K
surname | Sele
given-names | M
surname | Cubellis
given-names | MV
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC1885857.nxml
surname | Bosotti
given-names | Roberta
surname | Locatelli
given-names | Giuseppe
surname | Healy
given-names | Sandra
surname | Scacheri
given-names | Emanuela
surname | Sartori
given-names | Luca
surname | Mercurio
given-names | Ciro
surname | Calogero
given-names | Raffaele
surname | Isacchi
given-names | Antonella
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC1891113.nxml
surname | Barrera
given-names | Junior
surname | Cesar
given-names | Roberto M
suffix | Jr
surname | Humes
given-names | Carlos
suffix | Jr
surname | Martins
given-names | David C
suffix | Jr
surname | Patrão
given-names | Diogo FC
surname | Silva
given-names | Paulo JS
surname | Brentani
given-names | Helena
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC1904248.nxml
surname | Harrison
given-names | Andrew P
surname | Johnston
given-names | Caroline E
surname | Orengo
given-names | Christine A
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC1906836.nxml
surname | Li
given-names | Zheng
surname | Srivastava
given-names | Shireesh
surname | Mittal
given-names | Sheenu
surname | Yang
given-names | Xuerui
surname | Sheng
given-names | Lufang
surname | Chan
given-names | Christina
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC1913542.nxml
surname | Yu
given-names | Hui
surname | Wang
given-names | Feng
surname | Tu
given-names | Kang
surname | Xie
given-names | Lu
surname | Li
given-names | Yuan-Yuan
surname | Li
given-names | Yi-Xue
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC1913926.nxml
surname | Royce
given-names | Thomas E
surname | Carriero
given-names | Nicholas J
surname | Gerstein
given-names | Mark B
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC1919396.nxml
surname | McQuisten
given-names | Kyle A
surname | Peek
given-names | Andrew S
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC1939716.nxml
surname | Scott
given-names | Michelle S
surname | Barton
given-names | Geoffrey J
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC1950528.nxml
surname | Xu
given-names | Lei
surname | Geman
given-names | Donald
surname | Winslow
given-names | Raimond L
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC1963339.nxml
surname | Tian
given-names | Feng
surname | Zhang
given-names | Huayue
surname | Zhang
given-names | Xinyu
surname | Song
given-names | Chi
surname | Xia
given-names | Yongjing
surname | Wu
given-names | Yiqing
surname | Liu
given-names | Xiangjun
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC1973087.nxml
surname | Andken
given-names | Benjamin B
surname | Lim
given-names | In
surname | Benson
given-names | Gary
surname | Vincent
given-names | John J
surname | Ferenc
given-names | Matthew T
surname | Heinrich
given-names | Bianca
surname | Jarzylo
given-names | Larissa A
surname | Man
given-names | Heng-Ye
surname | Deshler
given-names | James O
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC1994960.nxml
surname | Fujibuchi
given-names | Wataru
surname | Kato
given-names | Tsuyoshi
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC2092437.nxml
surname | Küntzer
given-names | Jan
surname | Backes
given-names | Christina
surname | Blum
given-names | Torsten
surname | Gerasch
given-names | Andreas
surname | Kaufmann
given-names | Michael
surname | Kohlbacher
given-names | Oliver
surname | Lenhof
given-names | Hans-Peter
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC2099478.nxml
surname | Winters-Hilt
given-names | Stephen
surname | Davis
given-names | Amanda
surname | Amin
given-names | Iftekhar
surname | Morales
given-names | Eric
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC2099479.nxml
surname | Thomson
given-names | Karen
surname | Amin
given-names | Iftekhar
surname | Morales
given-names | Eric
surname | Winters-Hilt
given-names | Stephen
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC2099488.nxml
surname | Dozmorov
given-names | Mikhail G
surname | Kyker
given-names | Kimberly D
surname | Saban
given-names | Ricardo
surname | Shankar
given-names | Nathan
surname | Baghdayan
given-names | Arto S
surname | Centola
given-names | Michael B
surname | Hurst
given-names | Robert E
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC2099489.nxml
surname | Winters-Hilt
given-names | Stephen
surname | Morales
given-names | Eric
surname | Amin
given-names | Iftekhar
surname | Stoyanov
given-names | Alexander
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC2099501.nxml
surname | Winters-Hilt
given-names | Stephen
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC2174516.nxml
surname | Wu
given-names | Randy Z
surname | Chaivorapol
given-names | Christina
surname | Zheng
given-names | Jiashun
surname | Li
given-names | Hao
surname | Liang
given-names | Shoudan
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC2194743.nxml
surname | Cheng
given-names | Chao
surname | Yan
given-names | Xiting
surname | Sun
given-names | Fengzhu
surname | Li
given-names | Lei M
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC2194797.nxml
surname | Chen
given-names | Jing
surname | Xu
given-names | Huan
surname | Aronow
given-names | Bruce J
surname | Jegga
given-names | Anil G
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC2211325.nxml
surname | Gormley
given-names | Michael
surname | Dampier
given-names | William
surname | Ertel
given-names | Adam
surname | Karacali
given-names | Bilge
surname | Tozeren
given-names | Aydin
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC2216044.nxml
surname | Ferrari
given-names | Francesco
surname | Bortoluzzi
given-names | Stefania
surname | Coppe
given-names | Alessandro
surname | Sirota
given-names | Alexandra
surname | Safran
given-names | Marilyn
surname | Shmoish
given-names | Michael
surname | Ferrari
given-names | Sergio
surname | Lancet
given-names | Doron
surname | Danieli
given-names | Gian Antonio
surname | Bicciato
given-names | Silvio
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC2217565.nxml
surname | Kim
given-names | Tae-Min
surname | Chung
given-names | Yeun-Jun
surname | Rhyu
given-names | Mun-Gan
surname | Ho Jung
given-names | Myeong
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC2225425.nxml
surname | Danko
given-names | Charles G
surname | McIlvain
given-names | Vera A
surname | Qin
given-names | Maochun
surname | Knox
given-names | Barry E
surname | Pertsov
given-names | Arkady M
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC2225428.nxml
surname | Ward
given-names | William O
surname | Swartz
given-names | Carol D
surname | Porwollik
given-names | Steffen
surname | Warren
given-names | Sarah H
surname | Hanley
given-names | Nancy M
surname | Knapp
given-names | Geremy W
surname | McClelland
given-names | Michael
surname | DeMarini
given-names | David M
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC2233649.nxml
surname | Newman
given-names | Aaron M
surname | Cooper
given-names | James B
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC2238722.nxml
surname | Vinga
given-names | Susana
surname | Almeida
given-names | Jonas S
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC2241646.nxml
surname | Froehlich
given-names | Holger
surname | Fellmann
given-names | Mark
surname | Sueltmann
given-names | Holger
surname | Poustka
given-names | Annemarie
surname | Beissbarth
given-names | Tim
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC2248561.nxml
surname | Janky
given-names | Rekin's
surname | van Helden
given-names | Jacques
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC2248562.nxml
surname | Jen
given-names | Chih-Hung
surname | Yang
given-names | Tsun-Po
surname | Tung
given-names | Chien-Yi
surname | Su
given-names | Shu-Han
surname | Lin
given-names | Chi-Hung
surname | Hsu
given-names | Ming-Ta
surname | Wang
given-names | Hsei-Wei
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC2265266.nxml
surname | Zhu
given-names | Yuerong
surname | Zhu
given-names | Yuelin
surname | Xu
given-names | Wei
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC2265442.nxml
surname | Levitsky
given-names | Victor G
surname | Ignatieva
given-names | Elena V
surname | Ananko
given-names | Elena A
surname | Turnaev
given-names | Igor I
surname | Merkulova
given-names | Tatyana I
surname | Kolchanov
given-names | Nikolay A
surname | Hodgman
given-names | TC
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC2275245.nxml
surname | Gao
given-names | Feng
surname | Zhang
given-names | Chun-Ting
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC2275246.nxml
surname | van Hijum
given-names | Sacha AFT
surname | Baerends
given-names | Richard JS
surname | Zomer
given-names | Aldert L
surname | Karsens
given-names | Harma A
surname | Martin-Requena
given-names | Victoria
surname | Trelles
given-names | Oswaldo
surname | Kok
given-names | Jan
surname | Kuipers
given-names | Oscar P
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC2277398.nxml
surname | Lutter
given-names | Dominik
surname | Ugocsai
given-names | Peter
surname | Grandl
given-names | Margot
surname | Orso
given-names | Evelyn
surname | Theis
given-names | Fabian
surname | Lang
given-names | Elmar W
surname | Schmitz
given-names | Gerd
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC2311307.nxml
surname | Richter
given-names | Michael
surname | Lombardot
given-names | Thierry
surname | Kostadinov
given-names | Ivaylo
surname | Kottmann
given-names | Renzo
surname | Duhaime
given-names | Melissa Beth
surname | Peplies
given-names | Jörg
surname | Glöckner
given-names | Frank Oliver
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC2335306.nxml
surname | Pang
given-names | Herbert
surname | Zhao
given-names | Hongyu
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC2358895.nxml
surname | Åstrand
given-names | Magnus
surname | Mostad
given-names | Petter
surname | Rudemo
given-names | Mats
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC2383918.nxml
surname | Oti
given-names | Martin
surname | van Reeuwijk
given-names | Jeroen
surname | Huynen
given-names | Martijn A
surname | Brunner
given-names | Han G
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC2412878.nxml
surname | Dekhtyar
given-names | Michael
surname | Morin
given-names | Amelie
surname | Sakanyan
given-names | Vehary
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC2443380.nxml
surname | Dolan
given-names | Peter C
surname | Denver
given-names | Dee R
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC2464610.nxml
surname | Zhang
given-names | Shu-Dong
surname | Gant
given-names | Timothy W
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC2537559.nxml
surname | Ptitsyn
given-names | Andrey A
surname | Weil
given-names | Michael M
surname | Thamm
given-names | Douglas H
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC2537561.nxml
surname | Shi
